timestamp,whiskerL,whiskerF,whiskerR
1789539162.433507,4088,2352,2556
1789539162.4808512,4088,2352,2556
1789539162.5314145,4089,2352,2558
1789539162.5810628,4088,2352,2556
1789539162.620992,4087,2352,2556
1789539162.6843562,4089,2352,2556
1789539162.732006,4089,2353,2557
1789539162.7827737,4088,2352,2556
1789539162.831424,4089,2352,2559
1789539162.884369,4089,2353,2556
1789539162.9264297,4089,2352,2557
1789539162.983505,4088,2353,2555
1789539163.0313494,4088,2352,2555
1789539163.08368,4089,2352,2556
1789539163.1205463,4090,2352,2556
1789539163.184753,4089,2352,2557
1789539163.233859,4089,2352,2556
1789539163.283908,4089,2352,2555
1789539163.3349218,4088,2352,2557
1789539163.384916,4088,2352,2556
1789539163.4253287,4087,2352,2555
1789539163.484774,4088,2353,2555
1789539163.5354488,4089,2354,2556
1789539163.5847971,4088,2353,2558
1789539163.620785,4090,2352,2555
1789539163.6855996,4089,2352,2556
1789539163.7357054,4088,2352,2556
1789539163.7859752,4089,2354,2556
1789539163.8220742,4089,2352,2556
1789539163.8858385,4088,2353,2556
1789539163.9331772,4088,2353,2557
1789539163.9859784,3868,2353,2555
1789539164.0366073,3463,2352,2557
1789539164.0861044,2999,2352,2555
1789539164.136079,2755,2353,2555
1789539164.1864066,2560,2351,2557
1789539164.2357748,2562,2354,2556
1789539164.2860267,2546,2353,2554
1789539164.3280919,2546,2351,2557
1789539164.3865414,2546,2353,2552
1789539164.4366128,2546,2352,2556
1789539164.4866571,2547,2352,2556
1789539164.522517,2559,2348,2556
1789539164.5867312,2560,2352,2556
1789539164.6343858,2560,2349,2555
1789539164.687098,2559,2353,2556
1789539164.733882,2561,2353,2556
1789539164.7859106,2560,2352,2556
1789539164.8288143,2558,2352,2556
1789539164.885109,2561,2353,2556
1789539164.937428,2560,2352,2557
1789539164.9874907,2560,2354,2556
1789539165.022517,2560,2353,2555
1789539165.0874066,2560,2352,2556
1789539165.133791,2559,2352,2556
1789539165.187563,2559,2353,2556
1789539165.2307498,2561,2353,2556
1789539165.2881384,2560,2351,2556
1789539165.3350089,2560,2352,2555
1789539165.3878791,2560,2353,2555
1789539165.4378657,2560,2354,2556
1789539165.4871767,2561,2353,2555
1789539165.5300567,2560,2352,2555
1789539165.5883307,2560,2353,2555
1789539165.6381595,2560,2352,2556
1789539165.6884813,2560,2352,2556
1789539165.7244859,2561,2353,2556
1789539165.788415,2562,2353,2555
1789539165.8346643,2559,2352,2556
1789539165.888748,2560,2352,2557
1789539165.9384055,2561,2353,2559
1789539165.9806566,3145,2352,2554
1789539166.0377333,4089,2353,2556
1789539166.0846152,4088,2353,2557
1789539166.1339438,4088,2353,2556
1789539166.187751,4089,2352,2556
1789539166.2305088,4088,2353,2556
1789539166.2880712,4088,2353,2556
1789539166.3277297,4085,2353,2556
1789539166.388751,4089,2352,2555
1789539166.4323049,4088,2352,2556
1789539166.475147,4088,2352,2557
1789539166.5388668,4089,2352,2556
1789539166.5847206,4088,2353,2555
1789539166.627047,4089,2353,2555
1789539166.6886578,4088,2353,2556
1789539166.730355,4088,2352,2556
1789539166.787902,4088,2353,2556
1789539166.8275917,4088,2352,2555
1789539166.8898318,4089,2352,2556
1789539166.9317126,4089,2353,2556
1789539166.9891562,4089,2353,2555
1789539167.0288877,4090,2352,2556
1789539167.0847383,4089,2352,2559
1789539167.1330547,4088,2353,2556
1789539167.1746974,4065,2352,2556
1789539167.230548,3737,2352,2556
1789539167.2879846,3365,2353,2556
1789539167.3274658,3011,2352,2556
1789539167.383035,2681,2353,2556
1789539167.4393172,2546,2352,2556
1789539167.4817665,2558,2353,2557
1789539167.5377336,2560,2352,2556
1789539167.5774646,2559,2353,2556
1789539167.6329381,2559,2353,2553
1789539167.6904013,2560,2352,2555
1789539167.7369742,2562,2352,2555
1789539167.7787602,2560,2353,2556
1789539167.834284,2559,2353,2557
1789539167.8833506,2561,2355,2556
1789539167.9315531,2560,2352,2555
1789539167.980138,2558,2353,2555
1789539168.0356216,2559,2353,2556
1789539168.0842898,2560,2352,2558
1789539168.132866,2563,2352,2555
1789539168.1903589,2559,2352,2555
1789539168.2300208,2561,2352,2554
1789539168.286235,2560,2352,2555
1789539168.3272746,2560,2352,2556
1789539168.382824,2560,2352,2556
1789539168.4404309,2560,2352,2558
1789539168.4865088,2560,2352,2556
1789539168.5355477,2563,2353,2556
1789539168.577229,2560,2352,2555
1789539168.6328192,2559,2352,2555
1789539168.690495,2560,2353,2556
1789539168.7372143,2559,2349,2555
1789539168.7807083,2558,2352,2556
1789539168.834084,2560,2352,2556
1789539168.8917935,2560,2353,2557
1789539168.9382963,2560,2352,2555
1789539168.9799628,2560,2353,2556
1789539169.0424342,2560,2352,2556
1789539169.0895443,2560,2352,2556
1789539169.141741,2560,2353,2556
1789539169.1882267,2559,2353,2555
1789539169.2298906,2559,2353,2556
1789539169.29061,2560,2352,2556
1789539169.3362024,2559,2355,2556
1789539169.3895667,2561,2353,2557
1789539169.4316628,2561,2352,2557
1789539169.492289,2559,2352,2555
1789539169.5350847,2560,2349,2557
1789539169.5928853,2560,2353,2556
1789539169.6325688,2560,2351,2556
1789539169.691889,2560,2352,2558
1789539169.7367458,2559,2352,2556
1789539169.7783616,3955,2352,2555
1789539169.834754,4088,2354,2555
1789539169.8926902,4089,2355,2556
1789539169.9342272,4088,2352,2556
1789539169.9867103,4088,2352,2557
1789539170.029249,4089,2352,2555
1789539170.0940287,4088,2353,2556
1789539170.1410599,4088,2355,2556
1789539170.1819916,4088,2353,2556
1789539170.2365987,4090,2353,2555
1789539170.2936752,4088,2352,2555
1789539170.344069,4088,2352,2555
1789539170.38248,4088,2352,2555
1789539170.438325,4088,2353,2556
1789539170.494515,4089,2352,2556
1789539170.5421677,4088,2352,2556
1789539170.584718,4088,2353,2556
1789539170.6444323,4088,2353,2555
1789539170.688802,4089,2353,2556
1789539170.7298577,4088,2353,2556
1789539170.7946494,4088,2353,2556
1789539170.8415968,4088,2352,2556
1789539170.883266,4088,2352,2556
1789539170.9449637,4085,2353,2555
1789539170.9943547,4088,2353,2556
1789539171.035989,4088,2353,2556
1789539171.0937548,4088,2352,2556
1789539171.1401558,3856,2352,2557
1789539171.1818147,3515,2354,2556
1789539171.2445493,3011,2353,2555
1789539171.292885,2571,2351,2556
1789539171.3437014,2560,2348,2557
1789539171.395327,2559,2352,2556
1789539171.443893,2571,2353,2555
1789539171.4953516,2562,2353,2556
1789539171.5453963,2560,2351,2555
1789539171.5946794,2558,2351,2555
1789539171.645518,2571,2351,2556
1789539171.6941636,2572,2352,2556
1789539171.746031,2572,2350,2557
1789539171.793821,2572,2352,2555
1789539171.8422801,2562,2352,2556
1789539171.8826954,2560,2354,2555
1789539171.9454856,2560,2352,2556
1789539171.987208,2560,2354,2557
1789539172.044238,2571,2352,2556
1789539172.096285,2560,2354,2556
1789539172.133021,2561,2352,2555
1789539172.1964214,2571,2353,2556
1789539172.2440898,2571,2354,2555
1789539172.2857437,2572,2353,2556
1789539172.3434973,2572,2352,2553
1789539172.396653,2560,2352,2555
1789539172.4337592,2559,2352,2555
1789539172.4967775,2571,2352,2555
