timestamp,rawL,rawR
1786722571.0825481,707,186
1786722571.1326287,707,186
1786722571.1818724,706,186
1786722571.2324486,707,185
1786722571.2819393,707,186
1786722571.3323493,707,187
1786722571.3819027,707,186
1786722571.432218,707,186
1786722571.4782073,707,186
1786722571.5285234,707,186
1786722571.5688357,707,186
1786722571.632843,707,186
1786722571.6803896,707,186
1786722571.721992,707,186
1786722571.7708335,707,186
1786722571.8328657,707,186
1786722571.8745134,707,186
1786722571.9330356,707,185
1786722571.9830794,707,185
1786722572.032839,707,185
1786722572.0757523,707,186
1786722572.1201706,707,186
1786722572.179752,707,186
1786722572.2331333,706,185
1786722572.2770746,707,185
1786722572.32071,707,185
1786722572.3829596,707,185
1786722572.4329083,707,187
1786722572.4833655,707,186
1786722572.5334804,707,186
1786722572.5831542,708,186
1786722572.6333652,707,187
1786722572.6836023,707,185
1786722572.733637,707,186
1786722572.7835908,707,185
1786722572.8336308,707,186
1786722572.8837729,707,186
1786722572.933146,707,186
1786722572.9838202,707,186
1786722573.03391,707,186
1786722573.0837066,707,186
1786722573.1339533,707,186
1786722573.1840012,707,186
1786722573.2340286,707,186
1786722573.2834506,707,186
1786722573.3340065,707,186
1786722573.3841262,707,186
1786722573.4295177,707,186
1786722573.478734,707,186
1786722573.5341728,706,187
1786722573.5784447,707,187
1786722573.6327784,707,186
1786722573.6801827,707,186
1786722573.727438,707,186
1786722573.7842321,707,186
1786722573.8329911,707,187
1786722573.8746114,707,186
1786722573.9344122,707,187
1786722573.9787216,707,187
1786722574.0204744,707,187
1786722574.0846138,707,188
1786722574.134666,707,186
1786722574.1847017,707,186
1786722574.2276814,707,188
1786722574.2699127,707,188
1786722574.3342464,707,186
1786722574.3848376,707,186
1786722574.4348922,707,187
1786722574.4786737,708,188
1786722574.5323532,707,186
1786722574.5849693,707,187
1786722574.6314301,707,187
1786722574.6725817,707,187
1786722574.7347722,707,186
1786722574.783844,707,187
1786722574.825294,707,186
1786722574.883816,707,187
1786722574.9351172,707,186
1786722574.985273,707,188
1786722575.0333166,707,188
1786722575.0758235,707,187
1786722575.1345086,707,187
1786722575.184917,707,188
1786722575.2351615,707,188
1786722575.2845633,707,187
1786722575.331578,707,187
1786722575.3812432,707,188
1786722575.4358099,707,187
1786722575.4851134,707,188
1786722575.535184,707,188
1786722575.5847294,707,187
1786722575.6356032,706,188
1786722575.6856515,707,188
1786722575.7355428,707,188
1786722575.7858078,707,188
1786722575.8347242,707,188
1786722575.8859477,707,188
1786722575.9357674,707,188
1786722575.9858227,707,188
1786722576.0360823,707,188
1786722576.0850627,707,188
1786722576.1360922,707,188
1786722576.1856604,707,188
1786722576.236063,707,188
1786722576.2858305,707,188
1786722576.336153,707,187
1786722576.3862882,707,188
1786722576.4364498,707,188
1786722576.4782715,707,188
1786722576.5361521,707,188
1786722576.5745633,707,187
1786722576.6309905,707,188
1786722576.6725962,707,188
1786722576.728233,707,188
1786722576.7861574,707,189
1786722576.8275552,707,189
1786722576.8826265,707,189
1786722576.92948,707,189
1786722576.971369,707,190
1786722577.033146,708,189
1786722577.0752892,707,193
1786722577.1368792,706,194
1786722577.1865194,707,193
1786722577.227274,707,194
1786722577.284935,707,194
1786722577.3362951,707,194
1786722577.3866785,707,194
1786722577.4355412,707,195
1786722577.4787369,707,194
1786722577.5366573,707,194
1786722577.5743878,707,195
1786722577.636952,707,195
1786722577.6872272,707,196
1786722577.737247,707,196
1786722577.7873075,707,198
1786722577.8372555,707,198
1786722577.8874788,707,198
1786722577.9374132,707,200
1786722577.987474,707,199
1786722578.037482,707,200
1786722578.0874212,707,201
1786722578.122754,707,201
1786722578.1787426,707,201
1786722578.2303233,707,202
1786722578.2876594,707,202
1786722578.3321323,707,202
1786722578.3863604,707,204
